st_id,st_tui_math1,st_tui_hindi1,st_tui_other1,st_tui_math_hrs1,ts_grade1,tot_hindi1,tot_math1,per_math1,per_hindi1,m_theta_eap1,m_theta_mle1,h_theta_eap1,h_theta_mle1,any_tuition1,quint_math1,quint_hindi1,terc_math1,terc_hindi1,st_tui_math2,st_tui_hindi2,st_tui_other2,st_tui_math_hrs2,ts_grade2,tot_hindi2,tot_math2,per_math2,per_hindi2,m_theta_eap2,m_theta_mle2,h_theta_eap2,h_theta_mle2,any_tuition2,ms_center1,st_age1,st_female1,st_grade1,treat,strata,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
CH002,0,0,0,,6-7,17,12,.34285715,.56666666,.30873024,.3548643,.89549261,.81588626,0,4,5,3,3,0,0,1,,4-7,17,24,.70588237,.56666666,1.7625179,1.4222424,.47654501,.48376781,1,Chhatarpur,,1,7,0,3,-1.254632,0,0,0,1,0,0
CH003,0,0,0,,8-9,13,12,.34285715,.43333334,-.18854995,-.16411197,.23364116,.31818628,0,2,3,1,2,0,1,0,,8-9,13,16,.45714286,.43333334,.21127829,.26243347,-.69924283,-.48249906,1,Chhatarpur,,1,8,0,3,-.54908311,0,0,0,0,1,0
CH004,0,0,0,,4-5,10,13,.37142858,.33333334,-1.8168868,-1.992601,-1.3334575,-1.2739027,0,2,2,1,1,0,0,0,,4-7,9,8,.23529412,.30000001,-1.064634,-.72820556,-1.038831,-.78615844,0,Chhatarpur,,1,5,0,3,-.54908311,0,1,0,0,0,0
CH005,1,0,1,More than 4 hours,6-7,12,8,.22857143,.40000001,-.50270092,-.29242828,-.14339846,-.048631329,1,2,3,1,2,0,0,0,,4-7,22,21,.61764705,.73333335,.84212291,.74019915,.96167278,.83380604,0,Chhatarpur,,1,7,0,5,1.6231838,0,0,0,1,0,0
CH007,1,0,0,1-2 hours,6-7,13,13,.37142858,.43333334,-.24808475,-.092780933,-.29124078,-.18283652,1,3,3,2,2,0,0,1,,4-7,15,18,.52941179,.5,.59054226,.56181973,.15794322,.16871296,1,Chhatarpur,,1,6,1,3,.92924875,0,0,1,0,0,0
CH008,1,1,0,1-2 hours,6-7,11,12,.34285715,.36666667,-.24524583,-.14809164,-.64423883,-.46763039,1,2,2,2,2,0,0,1,,4-7,18,18,.52941179,.60000002,.32071364,.33683115,.68644381,.62158602,1,Chhatarpur,,1,6,0,3,1.4008003,0,0,1,0,0,0
CH009,0,0,1,,8-9,18,12,.34285715,.60000002,1.107318,1.0516547,1.3434011,1.1751173,1,5,5,3,3,1,1,1,More than 4 hours,8-9,26,28,.80000001,.86666667,2.53848,2.0560255,2.1134498,1.9411601,1,Chhatarpur,,1,8,0,2,2.4518538,0,0,0,0,1,0
CH010,1,1,1,More than 4 hours,4-5,18,16,.45714286,.60000002,-.031351261,.01169661,.13745536,.18684278,1,4,4,2,2,1,0,0,Less than 1 hour,4-7,17,21,.61764705,.56666666,1.4136505,1.1148,.46258798,.42838934,1,Chhatarpur,,1,5,0,4,3.1457887,0,1,0,0,0,0
CH011,0,0,0,,8-9,6,10,.2857143,.2,-1.2860335,-1.534852,-1.0218524,-.84634799,0,1,1,1,1,0,0,1,,8-9,13,12,.34285715,.43333334,-.15830652,.0023395587,-.31218478,-.17302667,1,Chhatarpur,14,1,8,0,3,-3.6438587,0,0,0,0,1,0
CH012,0,1,1,,6-7,14,9,.25714287,.46666667,-.4106451,-.21194401,.025100717,.063590646,1,2,3,2,2,0,1,0,,4-7,8,15,.44117647,.26666668,.0065750037,.10089562,-.99017864,-.67619818,1,Chhatarpur,,1,7,1,5,-.71254671,0,0,0,1,0,0
CH013,0,1,0,,6-7,11,10,.2857143,.36666667,-.38847154,-.2331626,-.66176677,-.45249963,1,2,2,2,1,,,,,,,,,,,,,,,Chhatarpur,,1,7,1,3,2.7408636,0,0,0,1,0,0
CH014,1,1,1,More than 4 hours,6-7,6,12,.34285715,.2,-.2948451,-.15478082,-1.6005024,-1.5461825,1,3,1,2,1,1,0,0,Less than 1 hour,4-7,7,16,.47058824,.23333333,.087429531,.19632107,-1.31536,-1.5314437,1,Chhatarpur,14,1,7,1,3,.6448682,0,0,0,1,0,0
CH017,0,0,0,,8-9,16,12,.34285715,.53333336,-.075251564,-.090612963,.80730581,.75695646,0,2,4,1,3,1,0,0,More than 4 hours,8-9,21,12,.34285715,.69999999,-.64284128,-.38849601,1.3140107,1.1563389,1,Chhatarpur,,1,9,0,3,1.6231838,0,0,0,0,0,1
CH018,1,1,1,2-3 hours,6-7,9,14,.40000001,.30000001,-.30530581,-.13347082,-.58628565,-.38404772,1,2,3,2,2,1,1,1,More than 4 hours,4-7,23,14,.41176471,.76666665,-.13279875,-.013813436,1.2276257,1.0129739,1,Chhatarpur,,1,6,0,3,2.8658571,0,0,1,0,0,0
CH019,1,1,1,More than 4 hours,6-7,15,12,.34285715,.5,-.031152153,.011558276,-.024999594,.046244647,1,3,4,2,2,0,0,1,,4-7,18,13,.38235295,.60000002,-.24669826,-.07990656,.31131941,.31163433,1,Chhatarpur,,1,6,0,3,1.4008003,0,0,1,0,0,0
